syllable,tone1,tone2,tone3,tone4,tone5,tones_available
a,a1,a2,a3,a4,a5,1|2|3|4|5
ai,ai1,ai2,ai3,ai4,,1|2|3|4
an,an1,an2,an3,an4,,1|2|3|4
ang,ang1,ang2,ang3,ang4,,1|2|3|4
ao,ao1,ao2,ao3,ao4,,1|2|3|4
ba,ba1,ba2,ba3,ba4,ba5,1|2|3|4|5
bai,bai1,bai2,bai3,bai4,bai5,1|2|3|4|5
ban,ban1,,ban3,ban4,ban5,1|3|4|5
bang,bang1,,bang3,bang4,,1|3|4
bao,bao1,bao2,bao3,bao4,,1|2|3|4
bei,bei1,,bei3,bei4,bei5,1|3|4|5
ben,ben1,,ben3,ben4,,1|3|4
beng,beng1,beng2,beng3,beng4,beng5,1|2|3|4|5
bi,bi1,bi2,bi3,bi4,,1|2|3|4
bian,bian1,,bian3,bian4,bian5,1|3|4|5
biang,,biang2,,biang4,,2|4
biao,biao1,,biao3,biao4,,1|3|4
bie,bie1,bie2,bie3,bie4,,1|2|3|4
bin,bin1,,bin3,bin4,bin5,1|3|4|5
bing,bing1,,bing3,bing4,,1|3|4
bo,bo1,bo2,bo3,bo4,bo5,1|2|3|4|5
bong,,,,bong4,,4
bu,bu1,bu2,bu3,bu4,,1|2|3|4
ca,ca1,,ca3,ca4,,1|3|4
cai,cai1,cai2,cai3,cai4,,1|2|3|4
can,can1,can2,can3,can4,,1|2|3|4
cang,cang1,cang2,cang3,cang4,,1|2|3|4
cao,cao1,cao2,cao3,cao4,,1|2|3|4
ce,,,,ce4,,4
cei,,,,cei4,,4
cen,cen1,cen2,,,,1|2
ceng,ceng1,ceng2,,ceng4,,1|2|4
cha,cha1,cha2,cha3,cha4,,1|2|3|4
chai,chai1,chai2,chai3,chai4,,1|2|3|4
chan,chan1,chan2,chan3,chan4,,1|2|3|4
chang,chang1,chang2,chang3,chang4,chang5,1|2|3|4|5
chao,chao1,chao2,chao3,chao4,,1|2|3|4
che,che1,che2,che3,che4,,1|2|3|4
chen,chen1,chen2,chen3,chen4,chen5,1|2|3|4|5
cheng,cheng1,cheng2,cheng3,cheng4,,1|2|3|4
chi,chi1,chi2,chi3,chi4,chi5,1|2|3|4|5
chong,chong1,chong2,chong3,chong4,,1|2|3|4
chou,chou1,chou2,chou3,chou4,,1|2|3|4
chu,chu1,chu2,chu3,chu4,chu5,1|2|3|4|5
chua,chua1,,chua3,chua4,,1|3|4
chuai,chuai1,chuai2,chuai3,chuai4,,1|2|3|4
chuan,chuan1,chuan2,chuan3,chuan4,,1|2|3|4
chuang,chuang1,chuang2,chuang3,chuang4,,1|2|3|4
chui,chui1,chui2,chui3,chui4,,1|2|3|4
chun,chun1,chun2,chun3,,,1|2|3
chuo,chuo1,,,chuo4,,1|4
ci,ci1,ci2,ci3,ci4,,1|2|3|4
cong,cong1,cong2,cong3,cong4,,1|2|3|4
cou,cou1,cou2,cou3,cou4,,1|2|3|4
cu,cu1,cu2,cu3,cu4,,1|2|3|4
cuan,cuan1,cuan2,,cuan4,,1|2|4
cui,cui1,,cui3,cui4,cui5,1|3|4|5
cun,cun1,cun2,cun3,cun4,,1|2|3|4
cuo,cuo1,cuo2,cuo3,cuo4,,1|2|3|4
da,da1,da2,da3,da4,da5,1|2|3|4|5
dai,dai1,,dai3,dai4,dai5,1|3|4|5
dan,dan1,,dan3,dan4,,1|3|4
dang,dang1,,dang3,dang4,dang5,1|3|4|5
